FID_1,X,Y,ID,Cd,Pb,Cr,SIGLE_PEDO,region_etm,GS
409,238401,153664,02/LA00951,,32.1441441441,14.9191919192,Aba1,6,9
654,237838,152974,03/LA01232,,18.5982142857,31.0808080808,Aba1,6,9
511,224562,137188,02/LA04725,,32.1441441441,31.0808080808,Aba1,6,9
473,214050,132070,02/LA04323,,40.2522522523,45.2222222222,Aca0,6,9
544,214043,133536,02/LA05640,,41.1531531532,30.0707070707,Ada0,6,9
512,221460,135511,02/LA04727,,45.6576576577,39.1616161616,Ada1,6,9
522,198111,136374,02/LA04942,,35.7477477477,19.9696969697,AIa0,6,9
584,225309,137389,02/LA06303,,25.8378378378,21.9898989899,AFp,6,9
510,223526,149318,02/LA04724,,33.045045045,24.0101010101,Aba1,2,4
509,215151,149590,02/LA04723,,23.1351351351,28.0505050505,Aba1,2,4
655,238418,160638,03/LA01233,,17.7053571429,30.0707070707,Aba0,2,4
695,234866,156634,03/LA03347,,29.3125,31.0808080808,Aba1,2,4
546,197143,158676,02/LA05642,,20.4324324324,23,Aba1,2,4
455,239295,161200,02/LA03000,,25.8378378378,20.9797979798,Aba1,2,4
656,235288,162021,03/LA01236,,18.5982142857,30.0707070707,Aba1,2,4
513,224175,149256,02/LA04728,,34.8468468468,32.0909090909,Abp(c),2,4
583,237998,161142,02/LA06301,,26.7387387387,21.9898989899,gAba2_3,2,4
293,235250,123700,00980E,,,57.7010309278,GbBKf2,10,22
545,217155,132605,02/LA05641,,42.0540540541,32.0909090909,Ada0,8,9
581,229896,125746,02/LA06299,,26.7387387387,27.0404040404,ADa1,8,9
580,221694,132805,02/LA06298,,29.4414414414,25.0202020202,aGbap2,8,14
290,235845,123552,00980A,,,36.8762886598,Aca0,12,25
291,235801,123632,00980B,,,41.618556701,Aca0,12,25
292,235707,123686,00980C,,,40.8969072165,Aca0,12,25
1116,247408,114309,108A,0.879000003,,23.6663551402,Gbbfi4,13,28
1367,258437,108532,113A,1.129600031,,36.4494400187,Gbbfi2,13,28
1410,268195,145504,115A,0.324600006,,22.7604676729,Gbbr2,9,25
824,240142,149614,100_ThBailleux,,,35.363388785,GbBf0_1,7,15
865,240142,149614,101_ThBailleux,,,,GbBf0_1,7,15
886,240142,149614,102_ThBailleux,,,,GbBf0_1,7,15
968,240142,149614,103_ThBailleux,,,,GbBf0_1,7,15
1000,240142,149614,104_ThBailleux,,,,GbBf0_1,7,15
1029,240142,149614,105_ThBailleux,,,,GbBf0_1,7,15
1056,240142,149614,106_ThBailleux,,,,GbBf0_1,7,15
1082,240142,149614,107_ThBailleux,,,,GbBf0_1,7,15
1107,240142,149614,108_ThBailleux,,,,GbBf0_1,7,15
1117,240142,149614,109_ThBailleux,,,,GbBf0_1,7,15
1149,240142,149614,110_ThBailleux,,,,GbBf0_1,7,15
1225,240142,149614,111_ThBailleux,,,,GbBf0_1,7,15
1295,240142,149614,112_ThBailleux,,,,GbBf0_1,7,15
1327,240142,149614,113_ThBailleux,,,,GbBf0_1,7,15
1369,240142,149614,114_ThBailleux,,,,GbBf0_1,7,15
1401,240142,149614,115_ThBailleux,,,,GbBf0_1,7,15
1411,240142,149614,116_ThBailleux,,,,GbBf0_1,7,15
791,211300,141200,070808 07309,,,25.9292035398,Aba1,6,9
792,211300,141200,070808 07310,,,27.0796460177,Aba1,6,9
789,206100,135100,070808-07317,,,26.017699115,Aba1,6,9
790,206100,135100,070808-07318,,,25.7522123894,Aba1,6,9
864,197052,134396,101_ALienard,1.469618,51.602539,26.7819814332,Abp(c),6,9
823,218535,139331,10_ThBailleux,,,14.5093962617,GbBf2,6,13
1147,218535,139331,11_ThBailleux,,,18.9894953271,GbBf2,6,13
1237,2e+05,139800,11101/R,,25.8,21.412371134,xADp2_3,6,9
1238,2e+05,139800,11101/S,,27.2,19.6597938144,xADp2_3,6,9
820,218638,139292,1_ThBailleux,22.94082,,,OX,6,43
1128,219750,147200,10942/B,,40.8,21,Aba,2,4
1129,219750,147200,10942/C,,37.1,22.3402061856,Aba,2,4
1130,219750,147200,10942/D,,41.7,24.9175257732,Aba,2,4
1131,219750,147200,10942/E,,40.2,25.7422680412,Aba,2,4
1132,219750,147200,10942/F,,37.9,24.0927835052,Aba,2,4
1127,221500,150300,10942/A,,38,22.6494845361,Aba1,2,4
1242,196513,157762,11111,,11.4553571429,,Aba1,2,4
701,239530,160172,03/LA03355,,41.8125,40.1717171717,Aba1,2,4
696,227621,154609,03/LA03348,,26.6339285714,32.0909090909,Abp(c),2,4
700,240480,159235,03/LA03354,,32.8839285714,31.0808080808,Aba1,2,4
702,240291,159041,03/LA03357,,43.5982142857,40.1717171717,Aba1,2,4
703,240001,159276,03/LA03358,,39.1339285714,38.1515151515,Aba1,2,4
704,239711,159237,03/LA03359,,39.1339285714,41.1818181818,Aba1,2,4
705,239667,159059,03/LA03360,,40.9196428571,36.1313131313,Aba1,2,4
698,236420,161951,03/LA03352,,28.4196428571,34.1111111111,Aba1,2,4
